address,Apart,gu,dong,long,lat,dist_from_highschool,highschool,,dist_from_elementaryschool,elementaryschool
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 97,현대로얄,구로구,구로동,126.8770342,37.48621962,927.599521,구일고등학교,,597.5263583,서울영일초등학교
가마산로 97,현대로얄,구로구,구로동,126.8770342,37.48621962,927.599521,구일고등학교,,597.5263583,서울영일초등학교
가마산로 97,현대로얄,구로구,구로동,126.8770342,37.48621962,927.599521,구일고등학교,,597.5263583,서울영일초등학교
가마산로19길 30,일동행복세상,구로구,구로동,126.8846034,37.49452787,640.50922,구로고등학교,,278.5318401,서울구로초등학교
가마산로20다길 45,골드마인(나동),구로구,구로동,126.8887713,37.49278258,621.6666206,구로고등학교,,401.4751601,서울동구로초등학교
가마산로20다길 46,다울숲,구로구,구로동,126.8887219,37.49262269,639.972192,구로고등학교,,416.1897764,서울동구로초등학교
가마산로20다길 46,다울숲,구로구,구로동,126.8887219,37.49262269,639.972192,구로고등학교,,416.1897764,서울동구로초등학교
가마산로26길 5,로제리움2차,구로구,구로동,126.8909761,37.49596874,266.4659631,구로고등학교,,156.3724516,서울동구로초등학교
가마산로26길 5,로제리움2차,구로구,구로동,126.8909761,37.49596874,266.4659631,구로고등학교,,156.3724516,서울동구로초등학교
가마산로27길 11,해담채3,구로구,구로동,126.8913651,37.49720229,161.4840649,구로고등학교,,254.1900453,서울동구로초등학교
가마산로27길 24,순영웰라이빌1차,구로구,구로동,126.8915489,37.49805996,128.3168353,구로고등학교,,254.4812805,서울신구로초등학교
가마산로27길 24,순영웰라이빌1차,구로구,구로동,126.8915489,37.49805996,128.3168353,구로고등학교,,254.4812805,서울신구로초등학교
가마산로27길 24,순영웰라이빌1차,구로구,구로동,126.8915489,37.49805996,128.3168353,구로고등학교,,254.4812805,서울신구로초등학교
가마산로27길 24,순영웰라이빌1차,구로구,구로동,126.8915489,37.49805996,128.3168353,구로고등학교,,254.4812805,서울신구로초등학교
가마산로27길 66,아스타 빌,구로구,구로동,126.8901565,37.49961197,150.1143316,구로고등학교,,70.14998237,서울신구로초등학교
가마산로27길 66,아스타 빌,구로구,구로동,126.8901565,37.49961197,150.1143316,구로고등학교,,70.14998237,서울신구로초등학교
가마산로50길 27,대성유니드,영등포구,신길동,126.902839,37.50135508,341.8966502,대영고등학교,,313.5980079,서울대영초등학교
가마산로79길 19,신길동자이,영등포구,신길동,126.916861,37.50611776,691.2082152,서울공업고등학교,,440.4324483,서울영신초등학교
가마산로79길 19,신길동자이,영등포구,신길동,126.916861,37.50611776,691.2082152,서울공업고등학교,,440.4324483,서울영신초등학교
가마산로79길 19,신길동자이,영등포구,신길동,126.916861,37.50611776,691.2082152,서울공업고등학교,,440.4324483,서울영신초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
가마산로79길 7,삼성래미안,영등포구,신길동,126.9160263,37.50514886,675.3873472,서울공업고등학교,,429.2424311,서울대방초등학교
