"도로명","지번","lon","lat"
"서울특별시 구로구 고척로33라길 9 (고척동 공원하이츠빌라)","서울특별시 구로구 고척동 241-21 공원하이츠빌라",126.8484315,37.5066449
"서울특별시 구로구 고척로51길 71 (고척동 공원빌라)","서울특별시 구로구 고척동 239-1 공원빌라",126.8527455,37.5069248
"서울특별시 구로구 구로중앙로 13 (구로동)","서울특별시 구로구 구로동 139-82 구로리공원",126.8915634,37.4908481
"서울특별시 구로구 벚꽃로 370 (가리봉동)","서울특별시 구로구 가리봉동 1-11 하늘공원주차장",126.880494,37.4870394
"서울특별시 구로구 서해안로 2117 (항동)","서울특별시 구로구 항동 91-2 공원관리사무소",126.8255942,37.4839836
"서울특별시 금천구 금하로 668 (시흥동)","서울특별시 금천구 시흥동 893 금빛공원",126.9045632,37.4526863
"서울특별시 금천구 금하로1마길 15-8 (독산동)","서울특별시 금천구 독산동 1112 철쭉경로당 철쭉공원",126.8896171,37.4528524
"서울특별시 금천구 독산로24마길 30 (시흥동)","서울특별시 금천구 시흥동 171-1 삼성체육공원 공영주차장",126.9090905,37.4546584
"서울특별시 금천구 시흥대로123길 91 (독산동)","서울특별시 금천구 독산동 298-1 공원노인정",126.909601,37.4632563
"서울특별시 영등포구 대림로 106 (대림동)","서울특별시 영등포구 대림동 870 대림어린이공원지하주차장",126.9032319,37.4910798
"서울특별시 영등포구 디지털로64길 2-25 (대림동 공원빌라)","서울특별시 영등포구 대림동 868-2 공원빌라",126.903664,37.4916744
"서울특별시 영등포구 문래로20길 14 (문래동3가 문래공원한신아파트)","서울특별시 영등포구 문래동3가 77-2 문래공원한신아파트",126.8929792,37.5175671
"서울특별시 영등포구 선유로 343 (당산동)","서울특별시 영등포구 당산동 1 선유도공원",126.8996263,37.5437302
"서울특별시 영등포구 신길로40길 5 (신길동)","서울특별시 영등포구 신길동 232-20 신길4동 공원지하주차장",126.9116443,37.5070964
"서울특별시 영등포구 신길로61길 13 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-1 공원도원빌",126.9096848,37.5143606
"서울특별시 영등포구 여의공원로 68 (여의도동)","서울특별시 영등포구 여의도동 2 여의도공원관리사무소",126.9218961,37.5187274
"서울특별시 영등포구 여의동로 48 (여의도동)","서울특별시 영등포구 여의도동 4-9 여의도샛강생태공원 방문자센터",126.9203798,37.518436
"서울특별시 영등포구 영신로10길 4-9 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-17 공원도원빌",126.9095896,37.5135137
"서울특별시 영등포구 영신로10길 8-1 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-15 공원도원빌",126.9094287,37.5136924
"서울특별시 영등포구 영신로10길 8-3 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-14 공원도원빌",126.9096123,37.5136671
"서울특별시 영등포구 영신로10길 12 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-11 공원도원빌",126.9094566,37.5139513
"서울특별시 영등포구 영신로10길 12-3 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-10 공원도원빌",126.9095948,37.5139345
"서울특별시 영등포구 영신로10길 12-4 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-13 공원도원빌",126.9096167,37.51375
"서울특별시 영등포구 영신로10길 12-7 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-9 공원도원빌",126.9097138,37.5139194
"서울특별시 영등포구 영신로10길 12-13 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-2 공원도원빌",126.9097868,37.5143436
"서울특별시 영등포구 영신로10길 14 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-6 공원도원빌",126.9095054,37.5140959
"서울특별시 영등포구 영신로10길 14-1 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-5 공원도원빌",126.9095597,37.5142496
"서울특별시 영등포구 영신로10길 14-3 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-4 공원도원빌",126.9096607,37.5142289
"서울특별시 영등포구 영신로10길 14-4 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-7 공원도원빌",126.9096085,37.5140824
"서울특별시 영등포구 영신로10길 14-5 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646-3 공원도원빌",126.9097693,37.5142299
"서울특별시 영등포구 영신로10길 14-6 (영등포동 공원 도원빌)","서울특별시 영등포구 영등포동 646-8 공원 도원빌",126.9097176,37.514051
"서울특별시 영등포구 영신로10길 16 (영등포동 공원도원빌)","서울특별시 영등포구 영등포동 646 공원도원빌",126.9095952,37.5143751
"서울특별시 영등포구 영신로9바길 9-4 (도림동 공원빌)","서울특별시 영등포구 도림동 126-1 공원빌",126.9068886,37.511101
"서울특별시 동작구 노량진로 191 (노량진동)","서울특별시 동작구 노량진동 152-3 사육신묘지공원",126.9488514,37.5136948
"서울특별시 동작구 노량진로 247 (본동)","서울특별시 동작구 본동 258-1 본동시민공원",126.9538345,37.5139019
"서울특별시 동작구 동작대로9가길 4 (사당동 공원빌라)","서울특별시 동작구 사당동 1028-5 공원빌라",126.9155887,37.4973477
"서울특별시 동작구 매봉로6길 16 (본동)","서울특별시 동작구 본동 126-450 노량진근린공원",126.9541124,37.5083193
