address,Apart,pps,gu,dong,size,floor,year,long,lat
가마산로 312,신동아,420,영등포구,대림동,84.85,8,29,126.8943769,37.49796078
가마산로 312,신동아,401,영등포구,대림동,67.41,7,29,126.8943769,37.49796078
가마산로 312,신동아,384,영등포구,대림동,84.85,13,29,126.8943769,37.49796078
가마산로 312,신동아,393,영등포구,대림동,67.41,12,29,126.8943769,37.49796078
가마산로 442,래미안 영등포 프레비뉴,858,영등포구,신길동,59.99,14,1,126.9059756,37.50496753
가마산로 468,신길레전드 힐스,797,영등포구,신길동,13.74,12,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,837,영등포구,신길동,13.74,16,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,797,영등포구,신길동,13.74,10,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,830,영등포구,신길동,13.49,15,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,808,영등포구,신길동,13.49,9,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,822,영등포구,신길동,13.74,10,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,797,영등포구,신길동,13.74,14,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,797,영등포구,신길동,13.74,12,3,126.9084593,37.50571391
가마산로 468,신길레전드 힐스,815,영등포구,신길동,13.74,10,3,126.9084593,37.50571391
가마산로 575,한성,551,영등포구,신길동,84.98,3,19,126.9202908,37.50427688
가마산로 575,한성,413,영등포구,신길동,134.33,7,19,126.9202908,37.50427688
가마산로 575,한성,616,영등포구,신길동,59.87,14,19,126.9202908,37.50427688
가마산로 87,한일유앤아이,424,구로구,구로동,84.962,7,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,375,구로구,구로동,114.722,9,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,446,구로구,구로동,74.229,13,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,408,구로구,구로동,84.962,10,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,412,구로구,구로동,84.962,7,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,372,구로구,구로동,114.722,6,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,424,구로구,구로동,84.962,10,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,406,구로구,구로동,84.962,2,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,437,구로구,구로동,84.962,14,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,412,구로구,구로동,84.962,20,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,435,구로구,구로동,84.962,13,10,126.8761513,37.48579325
