지점명,주소,lon,lat
상봉점,서울특별시 중랑구 망우로 399 (망우동 하이마트),127.0965029,37.5992526
상암월드컵점,서울특별시 마포구 월드컵북로 295 (상암동 상암동하이마트),126.8980602,37.5735694
상일IC점,서울특별시 강동구 천호대로 1473  437-3(상일동),127.1716237,37.5467951
서강점,서울특별시 마포구 서강대길 3  서강빌딩 1층(신수동 서강빌딩),126.9391948,37.5493959
서울역롯데마트점,서울특별시 중구 한강대로 405 (봉래동2가 경부고속철도서울민자역사),126.9695336,37.555042
석관점,서울특별시 성북구 한천로 573 (석관동 롯데하이마트석관점),127.0624692,37.6107055
석촌역점,서울특별시 송파구 송파대로 421 (석촌동 롯데하이마트),127.107488,37.5042767
성내점,서울특별시 송파구 올림픽로 545 (풍납동 팬코리아볼링센타),127.1201583,37.5307626
송파롯데마트점,서울특별시 송파구 중대로 80 (문정동 문정프라자),127.1177358,37.4916854
수유점,서울특별시 강북구 노해로 1 (수유동 (주)하이마트),127.0227907,37.635649
신길점,서울특별시 영등포구 신길로 141 (신길동),126.9102771,37.5049719
신림점,서울특별시 관악구 봉천로 224  1443-37(신림동),126.9258121,37.4893081
신정네거리점,서울특별시 양천구 신월로 272  신정동그린생활시설(신정동 신정동그린생활시설),126.8560769,37.5208351
쌍문점,서울특별시 도봉구 도봉로 533 (쌍문동),127.0150943,37.6612156
아차산역점,서울특별시 광진구 천호대로 670  썬타워빌딩(구의동 썬-타워빌딩),127.023466,37.524346
압구정점,서울특별시 강남구 도산대로 173 (신사동),127.0275349,37.519864
양재AT센터전시장,서울특별시 서초구 강남대로 27 (양재동 농수산물유통공사 화훼공판장),127.0403361,37.4657056
양재점,서울특별시 서초구 강남대로 214 (양재동),127.0360896,37.4639594
양재하나로,서울특별시 서초구 청계산로 10 (양재동 농협하나로클럽),127.043105,37.4629931
양평롯데마트점,서울특별시 영등포구 선유로 138 (양평동3가),126.8913573,37.5264464
영등포구청역점,서울특별시 영등포구 영등포로 115  45(당산동2가),126.8945178,37.5217487
오목교점,서울특별시 양천구 신목로 106 (목동),126.8760162,37.5238438
용두점,서울특별시 동대문구 고산자로 414  27-3(용두동 하이마트용두점),127.038671,37.573935
용산아이파크몰점,서울특별시 용산구 한강대로23길 55  40-999 용산아이파크몰 리빙파크 7F(한강로3가 용산역),126.9643318,37.5294426
용산점,서울특별시 용산구 원효로 208 (원효로2가),126.9581957,37.5336402
월드타워점,서울특별시 송파구 올림픽로 300  롯데월드몰 3층 쇼핑몰(신천동),127.1027322,37.5129907
은평롯데몰점,서울특별시 은평구 진관2로 37 (진관동),126.917566,37.6370354
은평점,서울특별시 은평구 은평로 148 (응암동),126.9240748,37.6005917
이수롭스점,서울특별시 동작구 동작대로 119 (사당동),126.9818565,37.487267
잠실점,서울특별시 송파구 올림픽로 240 (잠실동 롯데월드),127.098167,37.5111158
장한평점,서울특별시 성동구 천호대로 394  229-6 (용답동),127.0582683,37.5636987
종암점,서울특별시 성북구 종암로 114 (종암동 하이마트종암점),127.0341361,37.6004174
중계롯데마트점,서울특별시 노원구 노원로 330 (중계동 롯데마트),127.0709824,37.6466484
중계점,서울특별시 노원구 덕릉로 583 (중계동 하이마트중계점),127.0713191,37.6506095
창동점,서울특별시 도봉구 노해로 397 (창동 하이마트종합전자백화점),127.0521265,37.6528589
창동하나로,서울특별시 도봉구 마들로11길 20 (창동 농협창동유통센타),127.0521044,37.6553982
청구점,서울특별시 중구 다산로 210 (신당동),127.0149762,37.5617885
청량리롯데마트점,서울특별시 동대문구 왕산로 214 (전농동 청량리역 롯데백화점),127.0476829,37.5806274
청량리롯데백화점점,서울특별시 동대문구 왕산로 214  7층(전농동 청량리역 롯데백화점),127.0476829,37.5806274
홍대입구역점,서울특별시 마포구 양화로 123 (서교동),126.9186125,37.552785
화곡점,서울특별시 양천구 화곡로 99  23-5 23-5 롯데하이마트 화곡점(신월동),126.8379839,37.5406188
