"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"답십리로77길 139","두산6","중랑구","면목동",127.0806887,37.57769718,1.8,0.48,0.1,0.44
"당산로 175","삼익플라주","영등포구","당산동4가",126.8986646,37.53012824,3.11,0.2,0.06,0.45
"당산로 214","삼성래미안","영등포구","당산동5가",126.9013224,37.53277465,2.74,0.26,0.02,0.83
"당산로 222","당산디오빌","영등포구","당산동5가",126.9022496,37.53336271,2.63,0.36,0.04,0.93
"당산로 95","현대","영등포구","당산동2가",126.8958523,37.5233296,3.56,0.4,0.01,0.39
"당산로31길 32","쌍용예가클래식","영등포구","당산동3가",126.893293,37.52710582,3.69,0.64,0.19,0.21
"당산로36길 12","당산2차삼성","영등포구","당산동4가",126.8988061,37.52790468,3.26,0.45,0.11,0.3
"당산로41길 23","현대3","영등포구","당산동4가",126.8968099,37.53205481,3.1,0.16,0.05,0.59
"당산로42길 13","효성1","영등포구","당산동5가",126.9010701,37.53016392,2.95,0.3,0.01,0.6
"당산로42길 16","현대5","영등포구","당산동4가",126.9011494,37.5299154,2.96,0.32,0.04,0.59
"당산로42길 25","상아","영등포구","당산동5가",126.9021408,37.52963289,2.92,0.41,0.04,0.65
"당산로42길 7","당산2효성타운","영등포구","당산동5가",126.9006196,37.53041628,2.96,0.25,0.04,0.59
"당산로45길 7","반도보라빌","영등포구","당산동5가",126.9006646,37.53375888,2.71,0.27,0.07,0.89
"당산로49길 11","유탑유블레스","영등포구","당산동6가",126.9017584,37.5358454,2.5,0.52,0.12,0.81
"당산로4길 12","문래자이","영등포구","문래동3가",126.8959739,37.51696813,3.1,0.31,0.03,0.71
"당산로54길 11","래미안당산1차","영등포구","당산동",126.9046532,37.53491971,2.36,0.47,0.2,1.07
"대림로 256","성원(650)","영등포구","대림동",126.8966012,37.50330356,2.57,0.66,0.05,0.29
"대림로22길 29","갑을명가","영등포구","대림동",126.9036638,37.49514201,3.22,0.48,0.17,0.41
"대림로22길 38","온누리","영등포구","대림동",126.9044253,37.49546169,3.28,0.47,0.16,0.49
"대림로29길 13","쌍용플래티넘S","영등포구","대림동",126.8979829,37.49549274,2.72,0.27,0.13,0.21
"대림로31길 39","신동아","영등포구","대림동",126.8947073,37.49564724,2.44,0.23,0.15,0.44
"대림로34마길 15","다청림 102동","영등포구","대림동",126.8994548,37.50025775,2.8,0.44,0.07,0.21
"대방동길 10","신대방타워","동작구","대방동",126.9275934,37.50051745,2.68,0.41,0.02,0.51
"대방천로 155","신풍두산위브","영등포구","신길동",126.908208,37.49951066,3.57,0.51,0.05,0.76
"대방천로 180","우성2","영등포구","신길동",126.9109129,37.49899072,3.81,0.5,0.03,0.72
"대방천로 255","EL샤틀레","영등포구","신길동",126.9192008,37.49898241,3.39,0.41,0.05,0.79
"대방천로14길 32","우성3","영등포구","신길동",126.9103424,37.49630375,3.79,0.33,0.13,0.42
"대사관로11길 21","대림아르빌","용산구","한남동",127.0016156,37.53465401,0.77,1.21,0.12,0.25
"대학18길 6","금호(1차)","관악구","신림동",126.937398,37.46542238,1.42,0.53,0.06,1.98
"대학18길 9","금호(1차)","관악구","신림동",126.9375558,37.46525245,1.4,0.52,0.07,2
"대학20길 27","현대","관악구","신림동",126.9373265,37.4647635,1.4,0.57,0.1,2.01
"대학7길 26","관악","관악구","신림동",126.9390668,37.46837612,1.48,0.35,0.13,1.73
"대학로 47","이화에수풀","종로구","연건동",127.0019861,37.57548356,0.37,0.28,0.03,0.26
"대흥로2길 16","강변그린","마포구","용강동",126.9378709,37.54188359,0.9,0.63,0.16,0.32
"대흥로2길 8","강변그린","마포구","용강동",126.937391,37.54209747,0.94,0.59,0.16,0.28
"덕릉로 349","창동주공4단지","도봉구","창동",127.0478305,37.64527793,1.5,0.32,0.02,1.27
"덕릉로 350","창동주공4단지","도봉구","창동",127.0479044,37.64495661,1.51,0.36,0.04,1.3
