"학교명","주소","lon","lat"
"천왕중학교","서울특별시 구로구 천왕로 63 , 천왕중학교 (천왕동)",126.8380167,37.4826657
"한울중학교","서울특별시 금천구 독산로50길 60 한울중학교",127.0536271,37.5063317
"동일중학교","서울특별시 금천구 탑골로10길 45 (시흥동)",126.916402,37.4513899
"문일중학교","서울특별시 금천구 시흥대로47길 45 , 문일중학교 (시흥동)",126.898866,37.4501288
"우신중학교","서울특별시 구로구 부일로 917 (궁동,우신중학교)",126.8262138,37.4961922
"공릉중학교","서울특별시 노원구 노원로1길 42 , 공릉중학교 (공릉동)",127.0836581,37.6223189
"노곡중학교","서울특별시 도봉구 노해로70길 95 , (창동,노곡중학교)",127.0533605,37.6480852
"노원중학교","서울특별시 노원구 동일로213길 26 (상계동,노원중학교)",127.059737,37.6489151
"노일중학교","서울특별시 노원구 동일로231길 24 (상계동,노일중학교)",127.0538628,37.6731101
"녹천중학교","서울특별시 노원구 월계로 376 (월계동)",127.0620087,37.6313108
"도봉중학교","서울특별시 도봉구 마들로 671 (도봉동, 도봉중학교)",127.0457066,37.6705276
"방학중학교","서울특별시 도봉구 시루봉로 188 (방학동)",127.0316064,37.6653358
"백운중학교","서울특별시 도봉구 도봉로129길 50 (도봉동, 백운중학교)",127.0359343,37.6564068
"북서울중학교","서울특별시 도봉구 도봉로169가길 33 (도봉동)",127.0430239,37.6813005
"불암중학교","서울특별시 노원구 한글비석로5길 45 , 불암중학교 (하계동)",127.0734375,37.6458328
"상경중학교","서울특별시 노원구 동일로227길 61 (상계동, 상경중학교)",127.0534723,37.6665733
"상계제일중학교","서울특별시 노원구 덕릉로86길 29-15 , 상계제일중학교 (중계동)",127.0780179,37.6614312
"상계중학교","서울특별시 노원구 노원로 398 (상계동)",127.068872,37.6526466
"상원중학교","서울특별시 노원구 수락산로 182 (상계동, 상원중학교)",127.059403,37.6716623
"수락중학교","서울특별시 노원구 동일로 1729 (상계동)",127.0545754,37.6827948
"신도봉중학교","서울특별시 도봉구 도봉로115길 16 (쌍문동)",127.0331989,37.6492547
"신방학중학교","서울특별시 도봉구 시루봉로 156 (방학동,신방학중학교)",127.0295049,37.6639035
"신상중학교","서울특별시 노원구 동일로216길 42 (상계동,신상중학교)",127.0636532,37.6512204
"신창중학교","서울 노원구 월계로45길 92 (월계동,신창중학교)",127.0475474,37.6283726
"온곡중학교","서울특별시 노원구 노원로 492 (상계동,온곡중학교)",127.0643572,37.66044
"월계중학교","서울특별시 노원구 월계로45가길 54  월계중학교 (월계동)",127.0521549,37.6305561
