"address","Apart","gu","dong","long","lat","dist_from_elementaryschool","elementaryschool"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,160.180569792733,"서울동구로초등학교"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,216.622425995829,"서울동구로초등학교"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,216.622425995829,"서울동구로초등학교"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,216.622425995829,"서울동구로초등학교"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,170.248533329122,"서울동구로초등학교"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,170.248533329122,"서울동구로초등학교"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,170.248533329122,"서울동구로초등학교"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,170.248533329122,"서울동구로초등학교"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,170.248533329122,"서울동구로초등학교"
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999,173.248584184702,"서울동구로초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,299.428266586353,"서울신영초등학교"
"가마산로 442","래미안 영등포 프레비뉴","영등포구","신길동",126.9059756,37.50496753,289.640790299416,"서울대영초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,280.013765252706,"서울도림초등학교"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,229.815825841069,"서울대방초등학교"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,229.815825841069,"서울대방초등학교"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,229.815825841069,"서울대방초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,669.150253948731,"서울영일초등학교"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,597.52635834475,"서울영일초등학교"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,597.52635834475,"서울영일초등학교"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,597.52635834475,"서울영일초등학교"
"가마산로19길 30","일동행복세상","구로구","구로동",126.8846034,37.49452787,278.531840140272,"서울구로초등학교"
"가마산로20다길 45","골드마인(나동)","구로구","구로동",126.8887713,37.49278258,401.475160144026,"서울동구로초등학교"
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,416.18977640496,"서울동구로초등학교"
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,416.18977640496,"서울동구로초등학교"
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,156.372451603535,"서울동구로초등학교"
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,156.372451603535,"서울동구로초등학교"
"가마산로27길 11","해담채3","구로구","구로동",126.8913651,37.49720229,254.190045348993,"서울동구로초등학교"
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,254.481280524559,"서울신구로초등학교"
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,254.481280524559,"서울신구로초등학교"
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,254.481280524559,"서울신구로초등학교"
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,254.481280524559,"서울신구로초등학교"
"가마산로27길 66","아스타 빌","구로구","구로동",126.8901565,37.49961197,70.149982373994,"서울신구로초등학교"
"가마산로27길 66","아스타 빌","구로구","구로동",126.8901565,37.49961197,70.149982373994,"서울신구로초등학교"
"가마산로50길 27","대성유니드","영등포구","신길동",126.902839,37.50135508,313.598007935202,"서울대영초등학교"
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,440.432448292878,"서울영신초등학교"
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,440.432448292878,"서울영신초등학교"
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,440.432448292878,"서울영신초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,429.242431086638,"서울대방초등학교"
