"학교명","주소","lon","lat"
"배화여자고등학교","서울특별시 종로구 필운대로1길 34 , 배화여자고등학교 (필운동)",126.9668869,37.5784776
"백암고등학교","서울특별시 양천구 신정로13길 16 , 백암고등학교 (신정동)",126.8448213,37.5119279
"보성고등학교","서울특별시 송파구 양재대로 1278 (방이동,보성중고등학교)",127.135179,37.5194576
"보성여자고등학교","서울특별시 용산구 신흥로3가길 66 , 보성여자고등학교 (용산동2가)",126.9844961,37.5426751
"보인고등학교","서울특별시 송파구 오금로49길 18 , 보인고등학교 (오금동)",127.13829,37.4969841
"상명고등학교","서울특별시 노원구 덕릉로 553 , 상명고등학교 (중계동)",127.067903,37.649637
"상명대학교사범대학부속여자고등학교","서울특별시 종로구 홍지문2길 20 (홍지동,상명대학교)",126.955252,37.602638
"상문고등학교","서울특별시 서초구 명달로 45 , 상문고등학교 (방배동)",127.0038342,37.4799778
"상일여자고등학교","서울특별시 강동구 천호대로219길 61 , 상일여자고등학교 (상일동)",127.1696458,37.5492626
"서라벌고등학교","서울특별시 노원구 한글비석로5길 18 (중계1동 313, 서라벌고등학교)",127.0757495,37.6451802
"서문여자고등학교","서울특별시 서초구 동광로12길 84 , 서문여자고등학교 (방배동)",126.9854951,37.4893031
"서울공연예술고등학교","서울특별시 구로구 오리로22나길 16-26 (궁동,서울공연예술고)",126.8320999,37.5001513
"서울문영여자고등학교","서울특별시 관악구 관악로 85 , 서울문영여자고등학교 (봉천동)",126.9510634,37.4734279
"서울미술고등학교","서울특별시 관악구 남부순환로247길 26 (봉천동)",126.9671283,37.47676
"서울세종고등학교","서울특별시 강남구 광평로51길 36 , 서울세종고등학교 (수서동)",127.1023762,37.4902964
"서울예술고등학교","서울특별시 종로구 평창문화로 70 (평창동)",126.9690396,37.6056133
"서울외국어고등학교","서울특별시 도봉구 덕릉로66길 22 (창동,서울외국어고등학교)",127.0523489,37.6455543
"선덕고등학교","서울특별시 도봉구 시루봉로 53 선덕고둥학교 (쌍문동)",127.026829,37.6553511
"선일여자고등학교","서울특별시 은평구 갈현로29길 27 , 선일여자고등학교 (갈현동)",126.9121491,37.6203051
"선정고등학교","서울특별시 은평구 서오릉로20길 19 , 선정고등학교 (갈현동)",126.9090552,37.6186776
"선화예술고등학교","서울특별시 광진구 천호대로 664 (능동)",127.087932,37.550816
"성남고등학교","서울특별시 동작구 대방동길 74 (대방동)",126.9265387,37.505301
"성덕고등학교","서울특별시 강동구 구천면로 396 , 성덕고등학교 (천호동)",127.142176,37.550568
"성보고등학교","서울특별시 관악구 남부순환로156길 39 , 성보고등학교 (신림동)",126.9196267,37.4798049
