"유치원명","설립","주소","lon","lat"
"서울거여초등학교병설유치원","공립","서울특별시 송파구 마천로25길 18 (오금동,거여초등학교)",127.1408721,37.5046842
"서울고명초등학교병설유치원","공립","서울특별시 강동구 고덕로46길 53 (명일동,서울고명초등학교)",127.1468816,37.5529726
"서울길동초등학교병설유치원","공립","서울특별시 강동구 양재대로116길 69 (길동,길동초등학교)",127.1447715,37.5380673
"서울남천초등학교병설유치원","공립","서울특별시 송파구 성내천로 207 (마천동,남천초등학교)",127.1504486,37.5014492
"서울명일유치원","공립","서울특별시 강동구 암사19길 53 (암사동,서울명일유치원)",127.1418706,37.5533727
"서울방이초등학교병설유치원","공립","서울특별시 송파구 위례성대로10길 4 , 서울방이초등학교병설유치원 (방이동,방이초등학교)",127.1205626,37.5130915
"서울선린초등학교병설유치원","공립","서울특별시 강동구 진황도로61길 29 (둔촌동,선린초등학교)",127.1458768,37.5295846
"서울세륜초등학교병설유치원","공립","서울특별시 송파구 양재대로 1264 (방이동,세륜초등학교)",127.1335391,37.518599
"서울솔가람유치원","공립","서울특별시 송파구 위례순환로 419 , 솔가람유치원 (장지동)",127.141002,37.4779757
"서울송전초등학교병설유치원","공립","서울특별시 송파구 석촌호수로 159 (잠실동,서울송전초등학교)",127.0949875,37.5087662
"서울신명초등학교병설유치원","공립","서울특별시 강동구 명일로24길 33 , 서울신명초등학교병설유치원 (길동,서울신명초등학교)",127.1495079,37.5409478
"서울신천초등학교병설유치원","공립","서울특별시 송파구 올림픽로 215 (잠실동,잠실주공아파트5단지)",127.0948475,37.515194
"서울위례별유치원","공립","서울특별시 송파구 위례순환로 371 , 서울위례별유치원 (장지동)",127.1470664,37.479216
"서울위례초등학교병설유치원","공립","서울특별시 강동구 명일로 23 (둔촌동,위례초등학교)",127.1393717,37.5222653
"서울잠신초등학교병설유치원","공립","서울특별시 송파구 잠실로 32 (잠실동,서울잠신초등학교)",127.088182,37.513932
"서울잠일초등학교병설유치원","공립","서울특별시 송파구 올림픽로 95 (잠실동,서울잠일초등학교)",127.081572,37.5148763
"서울천호초등학교병설유치원","공립","서울특별시 강동구 구천면로 310-11 (천호동)",127.1290859,37.5469468
"서울평화초등학교병설유치원","공립","서울특별시 송파구 송파대로26길 22 (가락동,평화초등학교)",127.1226798,37.4915188
"서울가양초등학교병설유치원","공립","서울특별시 강서구 허준로 186 (가양동)",126.8586437,37.5617187
"서울강신초등학교병설유치원","공립","서울특별시 양천구 월정로 280 (신월동)서울강신초등학교병설유치원",126.8293826,37.5430231
"서울경인유치원","공립","서울특별시 양천구 안양천로 1009 , 서울경인유치원 (목동)",126.8863961,37.532704
"서울공진초등학교병설유치원","공립","서울특별시 강서구 마곡서로 33 , 서울공진초등학교 (마곡동)",126.8228396,37.5578391
"서울공항초등학교병설유치원","공립","서울특별시 강서구 마곡서1로 68 (마곡동)",126.8215639,37.5632004
"서울내발산초등학교병설유치원","공립","서울특별시 강서구 강서로46길 23 , 내발산초등학교 (내발산동)",126.8377337,37.5512842
"서울마곡유치원","공립","서울특별시 강서구 마곡서1로 139-13 , 서울마곡유치원 (마곡동)",127.0277812,37.5162464
"서울서정초등학교병설유치원","공립","서울특별시 양천구 목동로8길 19 서울서정초등학교 (목동)",126.8670389,37.5241668
"서울신기초등학교병설유치원","공립","서울특별시 양천구 신정로 292 (신정동)",126.8540515,37.5110164
"서울신원초등학교병설유치원","공립","서울특별시 양천구 남부순환로58길 32 , 서울신원초등학교병설유치원 (신월동)",126.829985,37.5294256
"서울신은초등학교병설유치원","공립","서울특별시 양천구 신정이펜2로 30 (신정동)",126.8320256,37.5139921
"서울양목초등학교병설유치원","공립","서울특별시 양천구 목동로11길 30 서울양목초등학교병설유치원 (신정동)",126.8612044,37.5236213
"서울양화초등학교병설유치원","공립","서울특별시 양천구 목동중앙북로16길 57 (목동,서울양화초등학교)",126.8739289,37.5436987
"서울염경초등학교병설유치원","공립","서울특별시 강서구 양천로69길 49 (염창동)",126.8712574,37.5548065
"서울영도초등학교병설유치원","공립","서울특별시 양천구 목동중앙로 70 (목동)",126.8716258,37.5357019
"서울월정초등학교병설유치원","공립","서울특별시 강서구 월정로 176 (화곡동) 월정초등학교",126.836257,37.5344183
"서울월촌초등학교병설유치원","공립","서울특별시 양천구 목동중앙로 132 , 서울월촌초등학교병설유치원 (목동)",126.876119,37.540064
"서울장수초등학교병설유치원","공립","서울특별시 양천구 신정로13가길 30 서울장수초등학교병설유치원 (신정동)",126.8453729,37.5131779
"서울정곡초등학교병설유치원","공립","서울특별시 강서구 방화대로50길 22 (방화동)",126.8189082,37.5769308
"서울탑산초등학교병설유치원","공립","서울특별시 강서구 허준로 109 서울탑산초등학교병설유치원 (가양동)",126.8524201,37.5670543
"서울화일초등학교병설유치원","공립","서울특별시 강서구 까치산로10길 70 , 서울화일초등학교병설유치원 (화곡동)",126.8475108,37.5405634
"서울개원초등학교병설유치원","공립","서울특별시 강남구 선릉로 29 (개포동,개원초등학교)",127.0587418,37.48163
"서울개포유치원","공립","서울특별시 강남구 영동대로3길 45 , 서울개포유치원 (개포동)",127.0597972,37.4839908
"서울논현초등학교병설유치원","공립","서울특별시 강남구 강남대로120길 33 (논현동)",127.026133,37.508376
"서울대왕초등학교병설유치원","공립","서울특별시 강남구 헌릉로618길 8 (세곡동)",127.1056319,37.4641998
"서울대현초등학교병설유치원","공립","서울특별시 강남구 역삼로98길 16 , 서울대현초등학교병설유치원 (대치동)",127.0633241,37.5032941
"서울도곡초등학교병설유치원","공립","서울특별시 강남구 선릉로64길 33 , 서울도곡초등학교병설유치원 (대치동)",127.054928,37.4993211
"서울반포초등학교병설유치원","공립","서울특별시 서초구 신반포로 55-4 (반포동)",126.9910992,37.5027416
"서울방배초등학교병설유치원","공립","서울특별시 서초구 방배중앙로13길 26 (방배동, 방배초등학교병설유치원)",126.9871509,37.487137
"서울서래초등학교병설유치원","공립","서울특별시 서초구 방배로 260 (방배동)",126.9898009,37.4963529
"서울세명초등학교병설유치원","공립","서울특별시 강남구 자곡로 55 (세곡동)",127.0909147,37.4687124
"서울수서초등학교병설유치원","공립","서울특별시 강남구 광평로51길 46 (수서동,수서초등학교)",127.1014041,37.4909352
"서울신구초등학교병설유치원","공립","서울특별시 강남구 압구정로18길 28 , 서울신구초등학교병설유치원 (신사동)",127.0240669,37.5233626
"서울언남초등학교병설유치원","공립","서울특별시 서초구 헌릉로8길 42 (내곡동)",127.0617096,37.4538893
"서울언주초등학교병설유치원","공립","서울특별시 강남구 남부순환로363길 19 서울언주초등학교병설유치원",127.0371605,37.4866567
"서울역삼초등학교병설유치원","공립","서울특별시 강남구 강남대로66길 21 (역삼동,역삼초등학교)",127.0327504,37.4927011
"서울우면초등학교병설유치원","공립","서울특별시 서초구 태봉로 59 , 서울우면초등학교병설유치원 (우면동)",127.0237457,37.4645759
"서울우솔초등학교병설유치원","공립","서울특별시 서초구 양재대로2길 74 (우면동)",127.0193586,37.4570428
"서울우암초등학교병설유치원","공립","서울특별시 서초구 바우뫼로7길 38 (우면동)",127.0239065,37.4721905
"서울원명초등학교병설유치원","공립","서울특별시 서초구 고무래로 90-6 , 서울원명초등학교병설유치원 (서초동)",127.016801,37.5003769
"서울율현초등학교병설유치원","공립","서울특별시 강남구 밤고개로21길 15 (자곡동)",127.1065697,37.4737808
"서울은곡유치원","공립","서울특별시 강남구 헌릉로569길 41 (세곡동)",127.1167873,37.466266
"서울자곡초등학교병설유치원","공립","서울특별시 강남구 자곡로 150 (자곡동)",127.0998493,37.4725138
"서울청계숲유치원","공립","서울특별시 서초구 청계산로11길 14 (신원동)",127.0553225,37.4473672
"서울강남초등학교병설유치원","공립","서울특별시 동작구 강남초등길 15 , 서울강남초등학교병설유치원 (상도1동)",126.9528065,37.5061982
"서울관악초등학교병설유치원","공립","서울특별시 관악구 청룡4길 49 서울관악초등학교병설유치원 (봉천동)",126.9433087,37.4806002
"서울난곡초등학교병설유치원","공립","서울특별시 관악구 난곡로35길 102 (신림동,난곡초등학교)",126.9166459,37.4692635
"서울남성초등학교병설유치원","공립","서울특별시 동작구 사당로23길 57-14 서울남성초등학교 (사당동)",126.9758609,37.4842393
"서울문창초등학교병설유치원","공립","서울특별시 동작구 신대방2길 14 서울문창초등학교 (신대방동)",126.9137666,37.4890267
"서울봉천초등학교병설유치원","공립","서울특별시 관악구 행운1라길 17 , 봉천초등학교병설유치원 (봉천동)",126.9582294,37.4831883
"서울삼성초등학교병설유치원","공립","서울특별시 관악구 대학7길 52 , 서울삼성초등학교 (신림동)",126.941004,37.468074
"서울상도유치원","공립","서울특별시 동작구 성대로21길 62 , 서울상도유치원 (상도동,상도초등학교)",126.93717,37.50007
"서울신남성초등학교병설유치원","공립","서울특별시 동작구 사당로 146 , 서울신남성초등학교 (사당동)",126.9650765,37.4889037
"서울신성초등학교병설유치원","공립","서울특별시 관악구 신림로 114 (신림동)",126.9320706,37.4869509
"서울신우유치원","공립","서울특별시 관악구 호암로 498 (신림동)",126.9323353,37.4626215
"서울원당초등학교병설유치원","공립","서울특별시 관악구 봉천로 505 , 원당초등학교 (봉천동)",126.9557411,37.4812679
"서울은로초등학교병설유치원","공립","서울특별시 동작구 서달로 115 (흑석동,은로초등학교)",126.9600286,37.5032922
"서울은천초등학교병설유치원","공립","서울특별시 관악구 은천로 69 (봉천동)",126.9429033,37.4868591
