"학교명","설립","주소","lon","lat"
"서울백운초등학교","공립","서울특별시 도봉구 삼양로146길 17 , 서울백운초등학교 (쌍문동)",127.0135747,37.6529138
"서울불암초등학교","공립","서울특별시 노원구 중계로 178 , 서울불암초등학교 (중계동)",127.080346,37.650998
"서울상경초등학교","공립","서울특별시 노원구 수락산로 237 , 서울상경초등학교 (상계동)",127.0516814,37.6703596
"서울상계초등학교","공립","서울특별시 노원구 상계로9길 39 (상계동,상계초등학교)",127.0660285,37.6591689
"서울상곡초등학교","공립","서울특별시 노원구 노원로38길 34 , 서울상곡초등학교 (상계동)",127.0627589,37.6626151
"서울상수초등학교","공립","서울특별시 노원구 동일로216길 66 (상계동,상수초등학교)",127.0648197,37.6515537
"서울상원초등학교","공립","서울특별시 노원구 한글비석로54길 119 (상계동)",127.0598254,37.6671878
"서울상월초등학교","공립","서울특별시 노원구 동일로221길 27 (상계동, 상월초등학교)",127.05707,37.658608
"서울상천초등학교","공립","서울특별시 노원구 덕릉로 443  서울상천초등학교 (상계동)",127.0577927,37.6459711
"서울선곡초등학교","공립","서울특별시 노원구 광운로2길 1 , 서울선곡초등학교 (월계동)",127.0580158,37.6183632
"서울수락초등학교","공립","서울특별시 노원구 동일로 1745 , 서울수락초등학교 (상계동)",127.0545019,37.6842159
"서울수암초등학교","공립","서울특별시 노원구 중계로12길 9 , (중계동, 수암초등학교) (중계동)",127.0815238,37.6481972
"서울숭미초등학교","공립","서울특별시 도봉구 노해로 179 (쌍문동, 숭미초등학교)",127.0277468,37.6507847
"서울신계초등학교","공립","서울특별시 노원구 초안산로 29 , 서울신계초등학교 (월계동)",127.0529307,37.6304076
"서울신방학초등학교","공립","서울특별시 도봉구 시루봉로 173 (방학동,신방학초등학교)",127.0293228,37.6659125
"서울신상계초등학교","공립","서울특별시 노원구 상계로 267 , 서울신상계초등학교 (상계동)",127.0755956,37.6680427
"서울신창초등학교","공립","서울특별시 도봉구 덕릉로60길 93 , 신창초등학교 (창동)",127.0418612,37.6365444
