"address","Apart","gu","dong","long","lat","dist_from_highschool","highschool"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 100","성원2","양천구","목동",126.8639327,37.54197729,291.950640010938,"대일고등학교"
"목동중앙남로 11","인우","양천구","목동",126.8685752,37.5354851,203.876772132345,"강서고등학교"
"목동중앙남로 11","인우","양천구","목동",126.8685752,37.5354851,203.876772132345,"강서고등학교"
"목동중앙남로 12","목동노블레스","양천구","목동",126.8687526,37.53553693,215.085042923825,"강서고등학교"
"목동중앙남로 12","목동노블레스","양천구","목동",126.8687526,37.53553693,215.085042923825,"강서고등학교"
"목동중앙남로 12","목동노블레스","양천구","목동",126.8687526,37.53553693,215.085042923825,"강서고등학교"
"목동중앙남로 21","에이스","양천구","목동",126.8678741,37.53598644,123.9656488332,"강서고등학교"
"목동중앙남로 46","목동미소래","양천구","목동",126.8671624,37.53785109,172.013013950814,"강서고등학교"
"목동중앙남로 51","동구햇살아파트","양천구","목동",126.866277,37.53835036,220.623663812816,"강서고등학교"
"목동중앙남로 80","동구햇살아파트2차","양천구","목동",126.8653688,37.54087031,246.142902791967,"대일고등학교"
"목동중앙남로3가길 59","세종그랑시아","양천구","목동",126.8642764,37.53835354,146.59252372039,"대일고등학교"
"목동중앙남로3가길 59","세종그랑시아","양천구","목동",126.8642764,37.53835354,146.59252372039,"대일고등학교"
"목동중앙남로3가길 59","세종그랑시아","양천구","목동",126.8642764,37.53835354,146.59252372039,"대일고등학교"
"목동중앙남로3길 11","금호아파트(768)","양천구","목동",126.8669042,37.53601113,51.1451852206093,"강서고등학교"
"목동중앙남로3길 11","금호아파트(768)","양천구","목동",126.8669042,37.53601113,51.1451852206093,"강서고등학교"
"목동중앙남로3길 11","금호아파트(768)","양천구","목동",126.8669042,37.53601113,51.1451852206093,"강서고등학교"
"목동중앙남로3길 11","금호아파트(768)","양천구","목동",126.8669042,37.53601113,51.1451852206093,"강서고등학교"
"목동중앙로 11","대원칸타빌2","양천구","목동",126.8669916,37.53158216,535.588384567657,"강서고등학교"
"목동중앙로 11","대원칸타빌2","양천구","목동",126.8669916,37.53158216,535.588384567657,"강서고등학교"
"목동중앙로 11","대원칸타빌2","양천구","목동",126.8669916,37.53158216,535.588384567657,"강서고등학교"
"목동중앙로 11","대원칸타빌2","양천구","목동",126.8669916,37.53158216,535.588384567657,"강서고등학교"
"목동중앙로 143","우성","양천구","목동",126.8757691,37.54103205,812.898767087108,"한가람고등학교"
"목동중앙로 143","우성","양천구","목동",126.8757691,37.54103205,812.898767087108,"한가람고등학교"
"목동중앙로 47","스카이빌아파트","양천구","목동",126.869166,37.53404644,347.037164494569,"강서고등학교"
"목동중앙로 47","스카이빌아파트","양천구","목동",126.869166,37.53404644,347.037164494569,"강서고등학교"
"목동중앙로 47","스카이빌아파트","양천구","목동",126.869166,37.53404644,347.037164494569,"강서고등학교"
"목동중앙로 47","스카이빌아파트","양천구","목동",126.869166,37.53404644,347.037164494569,"강서고등학교"
"목동중앙로 67","목동성원","양천구","목동",126.8702341,37.5357667,331.375300063577,"강서고등학교"
"목동중앙로 67","목동성원","양천구","목동",126.8702341,37.5357667,331.375300063577,"강서고등학교"
"목동중앙로 67","목동성원","양천구","목동",126.8702341,37.5357667,331.375300063577,"강서고등학교"
"목동중앙로 67","목동성원","양천구","목동",126.8702341,37.5357667,331.375300063577,"강서고등학교"
"목동중앙로 67","목동성원","양천구","목동",126.8702341,37.5357667,331.375300063577,"강서고등학교"
"목동중앙로 79","목동2차아이파크","양천구","목동",126.8710609,37.53648408,397.382531572183,"강서고등학교"
"목동중앙로 79","목동2차아이파크","양천구","목동",126.8710609,37.53648408,397.382531572183,"강서고등학교"
"목동중앙로 79","목동2차아이파크","양천구","목동",126.8710609,37.53648408,397.382531572183,"강서고등학교"
"목동중앙로 79","목동2차아이파크","양천구","목동",126.8710609,37.53648408,397.382531572183,"강서고등학교"
"목동중앙로 79","목동2차아이파크","양천구","목동",126.8710609,37.53648408,397.382531572183,"강서고등학교"
"목동중앙로 85","강산빌라트","양천구","목동",126.871554,37.53691176,444.681913259036,"강서고등학교"
"목동중앙로 9","대원칸타빌3","양천구","목동",126.8671731,37.53134758,562.950289195331,"강서고등학교"
"목동중앙로 9","대원칸타빌3","양천구","목동",126.8671731,37.53134758,562.950289195331,"강서고등학교"
"목동중앙로13다길 28","리버하이츠","양천구","목동",126.8815311,37.54400897,747.255651965644,"한가람고등학교"
"목동중앙로5가길 31","목동태진드림피아","양천구","목동",126.8705828,37.53802571,399.426962116828,"강서고등학교"
"목동중앙로5가길 31","목동태진드림피아","양천구","목동",126.8705828,37.53802571,399.426962116828,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙로7길 32","목동 이-편한세상","양천구","목동",126.8715677,37.53883197,519.366271233009,"강서고등학교"
"목동중앙본로 10","극동늘푸른","양천구","목동",126.871738,37.53812376,496.444289439736,"강서고등학교"
"목동중앙본로 10","극동늘푸른","양천구","목동",126.871738,37.53812376,496.444289439736,"강서고등학교"
"목동중앙본로 10","극동늘푸른","양천구","목동",126.871738,37.53812376,496.444289439736,"강서고등학교"
"목동중앙본로 10","극동늘푸른","양천구","목동",126.871738,37.53812376,496.444289439736,"강서고등학교"
"목동중앙본로 10","극동늘푸른","양천구","목동",126.871738,37.53812376,496.444289439736,"강서고등학교"
"목동중앙본로 15","금강에스쁘아","양천구","목동",126.8710946,37.53822982,449.993593232633,"강서고등학교"
"목동중앙본로 15","금강에스쁘아","양천구","목동",126.8710946,37.53822982,449.993593232633,"강서고등학교"
"목동중앙본로 15","금강에스쁘아","양천구","목동",126.8710946,37.53822982,449.993593232633,"강서고등학교"
"목동중앙본로 20","목동성원초원","양천구","목동",126.8708561,37.5386321,454.446843266551,"강서고등학교"
"목동중앙본로 20","목동성원초원","양천구","목동",126.8708561,37.5386321,454.446843266551,"강서고등학교"
"목동중앙본로 20","목동성원초원","양천구","목동",126.8708561,37.5386321,454.446843266551,"강서고등학교"
"목동중앙본로 20","목동성원초원","양천구","목동",126.8708561,37.5386321,454.446843266551,"강서고등학교"
"목동중앙본로 20","목동성원초원","양천구","목동",126.8708561,37.5386321,454.446843266551,"강서고등학교"
"목동중앙본로 34","월드메르디앙","양천구","목동",126.8695652,37.53933579,422.483614289902,"강서고등학교"
"목동중앙본로 48","웨스트빌(102동)","양천구","목동",126.8690381,37.5402891,486.874939726203,"강서고등학교"
"목동중앙본로 50","웨스트빌","양천구","목동",126.868906,37.54047857,500.878295463783,"강서고등학교"
"목동중앙본로 50","웨스트빌","양천구","목동",126.868906,37.54047857,500.878295463783,"강서고등학교"
"목동중앙본로 50","웨스트빌","양천구","목동",126.868906,37.54047857,500.878295463783,"강서고등학교"
"목동중앙본로1길 5","월드메르디앙2","양천구","목동",126.8700113,37.5387303,401.416173199952,"강서고등학교"
"목동중앙본로1길 5","월드메르디앙2","양천구","목동",126.8700113,37.5387303,401.416173199952,"강서고등학교"
"목동중앙본로1길 5","월드메르디앙2","양천구","목동",126.8700113,37.5387303,401.416173199952,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로22길 63","건영","양천구","목동",126.8727025,37.54154486,790.114771766127,"강서고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로28길 10","CG아름채 목동아파트","양천구","목동",126.8709371,37.54363533,823.737267431093,"대일고등학교"
"목동중앙본로2길 45","근상프리즘","양천구","목동",126.8706802,37.54084613,615.822800441216,"강서고등학교"
"목동중앙본로2길 45","근상프리즘","양천구","목동",126.8706802,37.54084613,615.822800441216,"강서고등학교"
"목동중앙본로30가길 55","삼성(528-7)","양천구","목동",126.8726355,37.54607883,979.772608058606,"영일고등학교"
"목동중앙본로30가길 55","삼성(528-7)","양천구","목동",126.8726355,37.54607883,979.772608058606,"영일고등학교"
"목동중앙본로3길 7","목동동화옥시죤-7","양천구","목동",126.8691318,37.53911886,379.953552966204,"강서고등학교"
"목동중앙본로5길 22","상진지오밸리나동","양천구","목동",126.8681059,37.53887497,309.28187952928,"강서고등학교"
"목동중앙본로5길 26","상진지오밸리가동","양천구","목동",126.8680353,37.53871098,290.159597059618,"강서고등학교"
"목동중앙본로5길 26","상진지오밸리가동","양천구","목동",126.8680353,37.53871098,290.159597059618,"강서고등학교"
"목동중앙북로 126","두레","양천구","목동",126.8770812,37.54629809,1142.68464731667,"한가람고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로 38","롯데캐슬위너","양천구","목동",126.8675599,37.54783157,511.965435589796,"영일고등학교"
"목동중앙북로16가길 47","목동진흥","양천구","목동",126.8760923,37.54360387,961.380708073722,"한가람고등학교"
"목동중앙북로16길 71","수산팰리스","양천구","목동",126.8740841,37.54300954,992.670267327149,"강서고등학교"
"목동중앙북로16길 71","수산팰리스","양천구","목동",126.8740841,37.54300954,992.670267327149,"강서고등학교"
"목동중앙북로16길 85","Park Palace II","양천구","목동",126.8735765,37.54259884,928.719711285505,"강서고등학교"
"목동중앙북로24길 83","정은스카이빌(959)","양천구","목동",126.8755094,37.54361095,999.298310904531,"한가람고등학교"
"목동중앙북로4길 43","태청","양천구","목동",126.8640715,37.54665104,243.280259429872,"영일고등학교"
"목동중앙북로8길 111","목동금호베스트빌","양천구","목동",126.8668439,37.54465971,571.653077114054,"영일고등학교"
"목동중앙북로8길 111","목동금호베스트빌","양천구","목동",126.8668439,37.54465971,571.653077114054,"영일고등학교"
"목동중앙북로8길 111","목동금호베스트빌","양천구","목동",126.8668439,37.54465971,571.653077114054,"영일고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로 37","금호어울림","양천구","목동",126.8679253,37.53303903,391.065996439143,"강서고등학교"
"목동중앙서로8길 29","엘리온","양천구","목동",126.8661993,37.53130252,566.268094675997,"강서고등학교"
"무학로 33","텐즈힐아파트(1단지)","성동구","하왕십리동",127.0298964,37.56723786,684.054721991224,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로 50","청계벽산","성동구","하왕십리동",127.0304187,37.56861739,808.764119039162,"성동고등학교"
"무학로10길 4","주암해븐","성동구","홍익동",127.0311934,37.56609661,737.98591893018,"성동고등학교"
"무학로12길 11","청계대주파크빌","성동구","홍익동",127.0314455,37.56735324,810.610294635618,"성동고등학교"
