"address","Apart","gu","dong","long","lat"
"청구로 64","청구e편한세상","중구","신당동",127.0154488,37.56034465
"청구로1길 23","삼성","중구","신당동",126.978884,37.611107
"청구로3길 72","진달래","중구","신당동",127.0140958,37.55655909
"청구로3길 80","성지","중구","신당동",127.013898,37.55620152
"청구로4길 37","대성드림","중구","신당동",127.0156876,37.56141196
"청두곶길 14","두원","서초구","방배동",126.9853645,37.47783931
"청룡7길 55","선경","관악구","봉천동",126.9491096,37.4797054
"청룡길 77","서울대입구아이원(1560-62)","관악구","봉천동",126.9458094,37.47832748
"청룡길 78","서울대입구아이원 (1560-61)","관악구","봉천동",126.9456198,37.47831156
"청림3길 10","서희스타힐스","관악구","봉천동",126.9593552,37.4886897
"청파로 205","이안용산3차","용산구","문배동",126.9696206,37.53875806
"청파로 213","이안용산프리미어","용산구","문배동",126.9705636,37.5386955
"청파로 464","브라운스톤(355-0)","중구","중림동",126.9680814,37.56082912
"청파로20길 9","용산아이피아대주피오레","용산구","한강로2가",126.9671779,37.53331727
"초록마을로 121","태창네스트힐","강서구","화곡동",126.8508912,37.53771422
"초록마을로 176","미성아파트,연립","강서구","화곡동",126.8452534,37.53573101
"초록마을로 75","계명가동","강서구","화곡동",126.8506967,37.54143686
"초안산로1길 18","주공2","노원구","월계동",127.0539436,37.62847711
"초안산로2길 91","우남푸르미아","노원구","월계동",127.0572522,37.63279487
"초안산로5길 22","대우","노원구","월계동",127.0510859,37.63244948
"충민로 151","송파파인타운2단지","송파구","장지동",127.1313879,37.48369329
"충민로 152","송파파인타운3단지","송파구","장지동",127.1318066,37.48362636
"충민로 188","송파파인타운1단지","송파구","장지동",127.1341956,37.48631819
"충민로4길 19","송파파인타운7단지","송파구","장지동",127.1300427,37.47879486
"충민로4길 5","송파파인타운5단지","송파구","장지동",127.1293324,37.479884
"충민로4길 6","송파파인타운8단지","송파구","장지동",127.1288642,37.47972514
"충민로6길 14","송파파인타운6단지","송파구","장지동",127.1320423,37.48114001
"충정로 30","충정","서대문구","충정로3가",126.9640412,37.56159582
"충정로 50","피어리스","서대문구","충정로3가",126.9650233,37.56307501
"충정로5길 27","충림예하임","서대문구","충정로3가",126.9624733,37.56265589
"충정로6길 59","서소문","서대문구","미근동",126.9679132,37.56232806
"충정로7길 30","현대","서대문구","충정로2가",126.9629325,37.563557
"충정로7길 9","미동","서대문구","충정로3가",126.9640903,37.56332825
"칠패로 27","순화동더샵","중구","순화동",126.9719836,37.5600495
"큰우물로 28","마포용강삼성래미안","마포구","용강동",126.9420281,37.54372479
"큰우물로 75","성지","마포구","도화동",126.9463314,37.54114497
"큰우물로 76","고려","마포구","도화동",126.9461181,37.5408519
"탑골로 84","벽산3","금천구","시흥동",126.9177261,37.45355968
"탑골로2길 24","금광","금천구","시흥동",126.9117441,37.45110684
"탑골로2길 55","애시안아파트","금천구","시흥동",126.9134932,37.45065143
"탑골로3길 50","현대(220-2)","금천구","시흥동",126.9135375,37.4533122
"태봉로2길 10","서초네이처힐7단지","서초구","우면동",127.0236062,37.46200074
"태봉로2길 30","서초네이처힐6단지","서초구","우면동",127.0260332,37.46163218
"태봉로2길 60","서초네이처힐3단지","서초구","우면동",127.0269577,37.4642935
"태봉로2길 65","서초네이처힐4단지","서초구","우면동",127.0264307,37.46400576
"테헤란로 423","현대타워(13층-27층)","강남구","삼성동",127.0532129,37.50614135
"테헤란로 428","테헤란로대우아이빌(891-6)","강남구","대치동",127.0539998,37.50576596
"테헤란로13길 35","역삼우성","강남구","역삼동",127.0315615,37.50193688
"테헤란로28길 47","네스빌(728-10)","강남구","역삼동",127.0399329,37.49815195
"테헤란로48길 10","역삼우정에쉐르2","강남구","역삼동",127.0458677,37.50267582
"테헤란로4길 46","쌍용플레티넘밸류","강남구","역삼동",127.030736,37.49552348
"테헤란로63길 12","LG선릉에클라트(B)","강남구","삼성동",127.0504383,37.50605765
"테헤란로64길 13","선릉역 풍림아이원레몬","강남구","대치동",127.0513658,37.50412209
"테헤란로64길 9","선릉역대우아이빌(890-49)","강남구","대치동",127.0513099,37.50438116
"테헤란로68길 15","대치동우정에쉐르2(890-42)","강남구","대치동",127.0525319,37.50430198
"테헤란로77길 31","삼성웰피아","강남구","삼성동",127.0537098,37.50850554
"테헤란로77길 8","우정에쉐르2","강남구","삼성동",127.0547492,37.50703017
"토성로 37","현대리버빌1지구","송파구","풍납동",127.1146436,37.53020691
"토성로 38","한강극동","송파구","풍납동",127.1144164,37.52993565
"토정로 158","한강밤섬자이","마포구","하중동",126.928491,37.54548559
"토정로 167","해모로","마포구","창전동",126.9293019,37.54595263
"토정로 242","현대","마포구","신수동",126.9371296,37.54348537
"토정로 67","두영이지안101동","마포구","합정동",126.9185355,37.5455251
"토정로18길 11","래미안 웰스트림","마포구","현석동",126.9358298,37.54363971
"토정로31길 23","래미안마포리버웰","마포구","용강동",126.9424489,37.54223906
"토정로32길 11","한강삼성","마포구","토정동",126.9413601,37.53991224
"토정로32길 13","한강삼성","마포구","토정동",126.940969,37.54018786
"토정로32길 6","대림2차","마포구","용강동",126.9411124,37.54077262
"통일로 246","현대","종로구","무악동",126.9581593,37.57461577
"통일로 279","독립문파크빌","서대문구","현저동",126.9554355,37.57647104
"통일로 319","홍제삼성래미안","서대문구","홍제동",126.9517652,37.57851396
"통일로 332","청구3차","서대문구","홍제동",126.9521443,37.58051282
"통일로 344","청구2차","서대문구","홍제동",126.9513093,37.58135204
"통일로 348","청구1차","서대문구","홍제동",126.9511247,37.58155773
"통일로 357","무악재한화","서대문구","홍제동",126.9501041,37.58215967
"통일로 397","인왕산한신휴플러스","서대문구","홍제동",126.9473595,37.58548272
"통일로 553","홍은센트레빌","서대문구","홍은동",126.9386183,37.59691859
"통일로 555","세한숲속마을","서대문구","홍은동",126.9373684,37.59656748
"통일로 586","녹번JR아파트","은평구","녹번동",126.9370858,37.59933503
"통일로 586","대림아파트(276)","은평구","녹번동",126.9370858,37.59933503
"통일로 590","대림아파트(276)","은평구","녹번동",126.9368368,37.59957186
"통일로 660","북한산푸르지오","은평구","녹번동",126.936243,37.60541091
"통일로 745","제이타워3","은평구","대조동",126.9284522,37.61179433
"통일로 749","아이안빌","은평구","대조동",126.9282221,37.61199242
"통일로 780","라이프미성","은평구","불광동",126.926657,37.61463894
"통일로 796","북한산 힐스테이트7차","은평구","불광동",126.9254334,37.61564548
"통일로 827","미르라이프","은평구","대조동",126.9225055,37.61722579
"통일로 856","극동메트로타워","은평구","불광동",126.9211277,37.61953734
"통일로 86","바비엥3","중구","순화동",126.9694096,37.56304775
"통일로18길 34","인왕산2차아이파크","종로구","무악동",126.9591183,37.57608414
"통일로18길 9","인왕산아이파크","종로구","무악동",126.9566942,37.57668474
"통일로25길 30","홍제한양","서대문구","홍제동",126.94852,37.58286778
"통일로26길 11","로얄","서대문구","홍제동",126.9506135,37.58324331
"통일로26길 17","인왕산어울림","서대문구","홍제동",126.9509267,37.58329336
"통일로32길 14","인왕궁맨숀","서대문구","홍제동",126.9493756,37.58504303
"통일로32길 3","인왕","서대문구","홍제동",126.9489105,37.58488814
"통일로32길 6","안산맨숀","서대문구","홍제동",126.9490329,37.58482047
"통일로34길 43","홍제원현대(459-0)","서대문구","홍제동",126.950156,37.58632871
"통일로34길 46","인왕산현대","서대문구","홍제동",126.9503474,37.5861067
"통일로37길 30","서울맨션","서대문구","홍제동",126.9438585,37.5869834
"통일로39가길 57","홍제현대","서대문구","홍제동",126.9414557,37.59004777
"통일로39길 104","동일1차","서대문구","홍제동",126.9407392,37.58600096
